北京大学,北京,985,211
中国人民大学,北京,985,211
清华大学,北京,985,211
北京交通大学,北京,,211
北京工业大学,北京,,211
北京航空航天大学,北京,985,211
北京理工大学,北京,985,211
北京科技大学,北京,,211
北京化工大学,北京,,211
北京邮电大学,北京,,211
中国农业大学,北京,985,211
北京林业大学,北京,,211
北京中医药大学,北京,,211
北京师范大学,北京,985,211
北京外国语大学,北京,,211
中国传媒大学,北京,,211
中央财经大学,北京,,211
对外经济贸易大学,北京,,211
北京体育大学,北京,,211
中央音乐学院,北京,,211
中央民族大学,北京,985,211
中国政法大学,北京,,211
华北电力大学,北京,,211
南开大学,天津,985,211
天津大学,天津,985,211
天津医科大学,天津,,211
华北电力大学(保定),河北,,211
河北工业大学,河北,,211
太原理工大学,山西,,211
内蒙古大学,内蒙古,,211
辽宁大学,辽宁,,211
大连理工大学,辽宁,985,211
东北大学,辽宁,985,211
大连海事大学,辽宁,,211
吉林大学,吉林,985,211
延边大学,吉林,,211
东北师范大学,吉林,,211
哈尔滨工业大学,黑龙江,985,211
哈尔滨工程大学,黑龙江,,211
东北农业大学,黑龙江,,211
东北林业大学,黑龙江,,211
复旦大学,上海,985,211
同济大学,上海,985,211
上海交通大学,上海,985,211
华东理工大学,上海,,211
东华大学,上海,,211
华东师范大学,上海,985,211
上海外国语大学,上海,,211
上海财经大学,上海,,211
上海大学,上海,,211
南京大学,江苏,985,211
苏州大学,江苏,,211
东南大学,江苏,985,211
南京航空航天大学,江苏,,211
南京理工大学,江苏,,211
中国矿业大学,江苏,,211
河海大学,江苏,,211
江南大学,江苏,,211
南京农业大学,江苏,,211
中国药科大学,江苏,,211
